#Table1
name,objID,ra,dec,run,rerun,camcol,field,colc_g,colc_r,colc_i,rowc_g,rowc_r,rowc_i,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
ind001,1237662226235392402,239.565773685885,26.944319128054,3900,301,6,686,214.047,208.546,212.0809,633.2426,622.2787,624.6706,GALAXY,19.91363,17.96399,16.95062,16.49811,16.09215
ind002,1237662226235392424,239.586418943152,26.9461539386805,3900,301,6,686,315.9262,310.4132,313.8278,767.0405,756.0939,758.4533,GALAXY,18.8284,16.92135,16.00628,15.60828,15.26763
ind003,1237662226235392455,239.601992979733,26.9337714925895,3900,301,6,686,286.163,280.6694,284.083,933.3991,922.5836,924.7999,GALAXY,19.39628,17.33805,16.31656,15.88567,15.50144
ind004,1237662226235457888,239.760978326426,26.8426073760626,3900,301,6,687,256.7384,251.326,254.2601,1104.78,1093.675,1096.246,GALAXY,21.08608,18.78201,17.75896,17.30277,16.90404
ind005,1237662226235458001,239.716719996332,26.8817445883722,3900,301,6,687,371.4806,365.809,369.127,612.3766,601.5026,604.0557,GALAXY,19.66832,18.27163,17.59682,17.23998,17.02387
ind006,1237662305662664854,239.004069376252,27.394127054534,3919,301,2,234,766.1611,762.3438,762.647,407.0221,395.9335,398.8972,GALAXY,20.1218,18.10596,17.15598,16.71469,16.35307
ind007,1237662305662664925,238.999440306928,27.3421188236998,3919,301,2,234,349.7973,346.0653,346.297,634.1132,623.0276,625.8934,GALAXY,19.96349,18.20533,17.33722,16.90853,16.60278
ind008,1237662305662730528,239.114075298544,27.2784659450178,3919,301,2,235,372.0577,368.1367,368.4696,364.9615,353.7467,356.9186,GALAXY,20.05767,18.13117,17.17378,16.7516,16.22043
ind009,1237662305662730557,239.182838415744,27.3274190123093,3919,301,2,235,1048.826,1044.603,1045.179,586.157,574.9401,578.2546,GALAXY,19.85271,18.41561,17.7241,17.35883,17.04742
ind010,1237662305662730559,239.162655023924,27.2980871992149,3919,301,2,235,736.2919,732.2488,732.7217,595.8592,584.5645,587.9377,GALAXY,19.73793,17.8394,16.9099,16.50759,16.15333
ind011,1237662305662730577,239.189761684627,27.2933754269619,3919,301,2,235,820.5623,816.4062,816.8824,802.539,791.2539,794.6813,GALAXY,19.29213,17.40693,16.4892,16.08408,15.73063
ind012,1237662305662730604,239.201870979164,27.2831025171496,3919,301,2,235,796.097,791.9225,792.392,935.5024,924.2661,927.7585,GALAXY,20.40681,18.35618,17.48497,17.10609,16.84621
ind013,1237662305662730611,239.286933592531,27.3875098113738,3919,301,2,235,1966.565,1962.104,1962.945,990.1617,978.5125,982.2236,GALAXY,19.71315,17.77087,16.79405,16.35282,15.96619
ind014,1237662305662730658,239.266495613506,27.340672979497,3919,301,2,235,1520.025,1515.751,1516.47,1085.532,1074.039,1077.716,GALAXY,20.13911,18.24208,17.3338,16.91692,16.57771
ind015,1237662305662730693,239.264057191039,27.3036229876189,3919,301,2,235,1227.383,1223.376,1223.806,1253.47,1242.251,1245.848,GALAXY,18.25678,16.66397,15.82007,15.36713,15.01694
ind016,1237662305662795927,239.229867855338,27.2141463807522,3919,301,2,236,395.6791,391.7726,391.8219,107.1911,96.13628,99.51516,GALAXY,19.7499,17.56277,16.52331,16.0504,15.63873
ind001,1237662305662795971,239.30893083694,27.2688863533047,3919,301,2,236,1162.588,1158.27,1158.567,368.8265,357.7174,361.2255,GALAXY,19.95675,18.51512,17.78518,17.29626,17.00699
ind002,1237662305662795977,239.306679146184,27.2579853799054,3919,301,2,236,1069.56,1065.45,1065.784,408.0836,396.8761,400.365,GALAXY,20.41555,18.62937,17.69007,17.24472,16.87648
ind003,1237662305662795989,239.35104822269,27.3132784919668,3919,301,2,236,1686.677,1682.298,1682.825,432.2469,420.7236,424.387,GALAXY,20.02123,18.16751,17.20615,16.75573,16.36395
ind004,1237662305662796023,239.37550398433,27.3154649968971,3919,301,2,236,1811.743,1807.354,1807.857,586.4224,574.9384,578.6658,GALAXY,19.52811,17.57532,16.63772,16.21674,15.85582
ind005,1237662305662796117,239.334042625223,27.1813622445384,3919,301,2,236,608.7209,604.6938,604.7264,975.179,964.1107,967.377,GALAXY,20.52002,18.69694,17.80936,17.3719,16.99286
ind006,1237662305662796120,239.3867492146,27.2515798443439,3919,301,2,236,1376.265,1372.074,1372.382,981.0703,969.8507,973.2919,GALAXY,19.87964,17.99625,17.02811,16.5845,16.19888
ind007,1237662305662796150,239.418192468583,27.2655925172242,3919,301,2,236,1622.221,1618.087,1618.409,1123.6,1112.247,1115.829,GALAXY,20.44066,18.34132,17.37622,16.92739,16.56184
ind008,1237662305662796157,239.431722877468,27.2769053011955,3919,301,2,236,1768.418,1764.05,1764.458,1158.507,1147.097,1150.712,GALAXY,19.9324,18.09782,17.14378,16.72968,16.36827
ind009,1237662305662796176,239.429776519925,27.226967252651,3919,301,2,236,1380.262,1376.246,1376.487,1394.69,1383.439,1386.977,GALAXY,19.93578,18.01489,17.03155,16.59042,16.25306
ind010,1237662305662796188,239.46527489378,27.2682851655416,3919,301,2,236,1851.882,1847.613,1848.053,1428.067,1416.702,1420.245,GALAXY,19.61333,17.62951,16.65067,16.22018,15.8613
ind011,1237662305662861411,239.460450396285,27.0843474147528,3919,301,2,237,434.2325,429.8123,430.0987,954.045,942.5269,945.7569,GALAXY,21.3018,19.52324,19.71963,18.95638,18.76852
ind012,1237662305662861494,239.459359545745,27.2412171379757,3919,301,2,237,1620.225,1616.079,1616.443,162.4078,151.1082,154.6759,GALAXY,20.5507,18.67705,17.67762,17.22054,16.85533
ind013,1237662305662861497,239.356772985647,27.0998409375107,3919,301,2,237,90.311,86.71714,86.39435,174.7999,163.7704,167.0217,GALAXY,20.34778,18.57973,17.63414,17.21405,16.90002
ind014,1237662305662861522,239.404196031191,27.1351354398685,3919,301,2,237,569.0489,565.3721,565.2886,319.4119,308.3216,311.7338,GALAXY,20.3993,18.49861,17.51455,17.07755,16.718
ind015,1237662305662861534,239.379450555332,27.1024541998719,3919,301,2,237,210.8989,207.2644,207.0549,315.2308,304.1547,307.4349,GALAXY,19.53201,17.59424,16.60429,16.12876,15.72434
ind016,1237662305662861541,239.501531856569,27.2608629779133,3919,301,2,237,1956.762,1952.529,1952.937,349.145,337.6436,341.2208,GALAXY,20.63472,18.58469,17.59122,17.13656,16.78028
ind001,1237662305662861554,239.483899809495,27.2236010679309,3919,301,2,237,1595.464,1591.369,1591.66,416.3307,404.9106,408.5241,GALAXY,20.68266,18.70625,17.73077,17.26275,16.89315
ind002,1237662305662861557,239.505295917528,27.2507144874416,3919,301,2,237,1896.449,1892.238,1892.678,425.3079,413.8095,417.4259,GALAXY,19.73758,17.70095,16.69478,16.22709,15.8519
ind003,1237662305662861562,239.413598630739,27.1156838956309,3919,301,2,237,462.8593,459.4374,459.4377,480.2587,469.0701,472.3912,GALAXY,18.79952,17.21334,16.38969,15.94457,15.59096
ind004,1237662305662861586,239.441006610391,27.1481669843684,3919,301,2,237,831.7015,827.9294,827.9512,503.3324,492.1111,495.5748,GALAXY,19.93004,17.76332,16.77162,16.33889,15.99003
ind005,1237662305662861593,239.478834576459,27.1975438997315,3919,301,2,237,1375,1371.029,1371.275,512.3263,500.9682,504.5559,GALAXY,20.11069,18.18385,17.19156,16.72803,16.35413
ind006,1237662305662861617,239.531012914779,27.2454876855296,3919,301,2,237,1971.046,1966.852,1967.312,625.1491,613.5684,617.248,GALAXY,20.30471,18.08976,17.05354,16.56572,16.17739
ind007,1237662305662861635,239.49396703759,27.1787190261156,3919,301,2,237,1299.343,1295.386,1295.61,708.6447,697.324,700.8751,GALAXY,20.12447,18.11016,17.11123,16.64938,16.27656
ind008,1237662305662861680,239.481795625197,27.1278736652306,3919,301,2,237,859.0399,855.2142,855.2909,880.3242,869.2814,872.6371,GALAXY,19.85437,17.72723,16.70595,16.23451,15.84564
ind009,1237662305662861702,239.552539920167,27.2079414948491,3919,301,2,237,1781.921,1777.683,1778.122,958.0881,946.7706,950.328,GALAXY,20.47183,18.50461,17.5119,17.07048,16.70667
ind010,1237662305662861707,239.505664799399,27.1346481073032,3919,301,2,237,1016.767,1012.837,1013.01,1007.807,996.7502,1000.125,GALAXY,21.03527,18.72938,17.75092,17.30096,16.9508
ind011,1237662305662861711,239.537208165793,27.1730150612666,3919,301,2,237,1448.585,1444.428,1444.735,1029.188,1017.98,1021.481,GALAXY,20.39961,18.30206,17.31638,16.88196,16.51593
ind012,1237662305662861739,239.574660949981,27.1830587140443,3919,301,2,237,1691.622,1687.303,1687.744,1232.022,1220.678,1224.31,GALAXY,20.61067,18.60697,17.65598,17.19378,16.82839
ind013,1237662305662861749,239.596478252036,27.2071494855272,3919,301,2,237,1971.575,1967.137,1967.731,1258.82,1247.38,1251.021,GALAXY,20.10957,18.10473,17.07955,16.61102,16.24815
ind014,1237662305662861769,239.553232313977,27.1408872204723,3919,301,2,237,1276.115,1271.901,1272.283,1298.159,1286.985,1290.426,GALAXY,18.74428,17.04516,16.30726,15.94694,15.66099
ind015,1237662305662861776,239.52089886321,27.0920157815529,3919,301,2,237,761.1258,757.0084,757.2874,1323.894,1312.948,1316.235,GALAXY,19.7669,17.75232,16.75369,16.27538,15.86757
ind016,1237662305662861788,239.574297073848,27.1602459158944,3919,301,2,237,1516.948,1512.587,1513.074,1343.665,1332.407,1335.926,GALAXY,20.21276,18.25108,17.29579,16.8415,16.5126
ind001,1237662305662861792,239.539592447658,27.1091197853678,3919,301,2,237,974.1519,970.0598,970.3495,1364.746,1353.755,1357.177,GALAXY,20.86866,18.65893,17.68877,17.26044,16.9037
ind002,1237662305662861796,239.602097764194,27.1904360886659,3919,301,2,237,1869.84,1865.378,1866.001,1380.428,1369.004,1372.648,GALAXY,20.01528,17.94188,16.93528,16.47132,16.10199
ind003,1237662305662861799,239.583883042452,27.1634044320222,3919,301,2,237,1583.573,1579.228,1579.745,1392.6,1381.342,1384.871,GALAXY,19.75222,17.85161,16.91646,16.47142,16.15711
ind004,1237662305662926866,239.633720351695,27.1808144583196,3919,301,2,238,1937.73,1933.206,1933.897,280.892,269.438,273.1026,GALAXY,19.21467,17.04366,16.06197,15.61798,15.21336
ind005,1237662305662927021,239.687337028366,27.1367152371811,3919,301,2,238,1842.588,1837.64,1838.586,863.6575,852.4175,856.0529,GALAXY,18.8927,17.48181,16.84469,16.40162,16.1391
ind006,1237662305662927149,239.592944146102,27.1659535799297,3919,301,2,238,1643.246,1638.877,1639.459,79.93749,68.65011,72.23198,GALAXY,20.43262,18.51384,17.58418,17.14256,16.81979
ind007,1237662305662927164,239.60814468311,27.1808318489053,3919,301,2,238,1823.87,1819.413,1820.027,108.2005,96.79506,100.4481,GALAXY,20.46233,18.4116,17.43012,16.95072,16.57678
ind008,1237662305662927175,239.553850826208,27.0915181402532,3919,301,2,238,904.1993,899.9319,900.3467,188.0796,177.0549,180.448,GALAXY,20.3635,18.50283,17.52557,17.07503,16.70759
ind009,1237662305662927183,239.607938572216,27.1594322455528,3919,301,2,238,1660.621,1656.168,1656.785,213.8485,202.5489,206.1408,GALAXY,20.35198,18.34419,17.35513,16.89434,16.49442
ind010,1237662305662927209,239.577071708871,27.0956704208794,3919,301,2,238,1039.155,1034.877,1035.349,324.243,313.2112,316.5935,GALAXY,19.924,18.0685,17.09716,16.66021,16.30214
ind011,1237662305662927221,239.587638888332,27.0906850328066,3919,301,2,238,1048.374,1044.125,1044.624,420.6418,409.5729,412.937,GALAXY,19.12667,17.27965,16.3467,15.92087,15.57079
ind012,1237662305662927232,239.61811322187,27.1289730700061,3919,301,2,238,1474.885,1470.418,1471.08,434.9883,423.7722,427.2491,GALAXY,20.37547,18.60517,17.69255,17.25952,16.90078
ind013,1237662305662927238,239.625425420255,27.1348984218053,3919,301,2,238,1552.403,1547.947,1548.594,454.6575,443.4851,446.9453,GALAXY,20.2527,18.15851,17.18616,16.74024,16.37559
ind014,1237662305662927247,239.576804951867,27.057097853796,3919,301,2,238,745.2637,740.9803,741.4482,515.3809,504.4503,507.7427,GALAXY,20.64276,18.5499,17.56643,17.11123,16.75202
ind015,1237662305662927259,239.623310723343,27.1153223238141,3919,301,2,238,1394.463,1390.016,1390.685,538.4069,527.2337,530.6079,GALAXY,19.68558,17.67968,16.71084,16.23722,15.8575
ind016,1237662305662927268,239.605969879546,27.0894729149789,3919,301,2,238,1120.932,1116.614,1117.164,550.68,539.5094,542.8964,GALAXY,20.73477,18.7207,17.76646,17.30947,16.946
